a1,d,g,u,definition,disambiguation
1.62064720596284,2.84308775866782,0,1,aïe,
1.90515103578076,4.34266584085748,0,1,allô,
1.88561873247929,3.14128114925779,0,1,bêe.bêe,
1.56382261857801,1.62321550048814,0,1,cocorico,
2.22831257085349,3.66642106060616,0,1,coin.coin,
1.23075048960453,2.35320315505381,0,1,grrrr,
1.97601071505868,4.08095813403114,0,1,meuh,
2.09343971515083,4.19230391018713,0,1,miaou,
1.73993028181446,3.88446270750444,0,1,ouaf.ouaf,
1.74416664149355,2.03987728854601,0,1,tchou.tchou,
1.35247469064108,2.258388663223,0,1,vroum,
1.65614569449134,1.77503672961232,0,1,ainsi.font.font,
1.78619683967809,3.18312195216528,0,1,attends,
2.52604681657568,6.30975030398896,0,1,au.revoir,
3.31195032243174,6.763923838002,0,1,bain,
3.60182307147666,6.11564303571208,0,1,bonjour,
2.97483140683668,4.18608603053457,0,1,bonne.nuit,
2.95263408216477,6.65141136733631,0,1,bravo,
2.10911075424736,3.69931366604247,0,1,chut,
2.76149145156178,2.38168067553934,0,1,déjeuner,déjeuner (repas)
2.16177426106499,1.25518143793233,0,1,dîner,dîner (repas)
3.36255066004701,6.54490437435669,0,1,merci,
2.47838242221877,2.2821258336666,0,1,ne.fais.pas,
2.96309351369882,6.07245107743168,0,1,oui,
3.46881380906289,2.85501922789846,0,1,petit.déjeuner,petit.déjeuner (repas)
3.78459491438614,5.17037535413495,0,1,s.il.te.plaît,
1.95173039463485,1.36586431813478,0,1,salut,
3.03884949040419,3.75851587844045,0,1,sieste,
2.63833450742519,3.88921253786028,0,1,veux,
3.38969912122526,4.29987874702299,0,1,abeille,
2.22944157703817,-0.0783953715430509,0,1,agneau,
3.04662977153481,3.88146897072148,0,1,âne,
3.85469776614627,3.1962219648863,0,1,animal,
1.82123104316156,0.0344917947225501,0,1,biche,
4.28000575602198,7.05668669400173,0,1,canard,
3.38412902772215,6.73107776896956,0,1,chat,
5.47765274969273,7.96268368491551,0,1,cheval,
2.80320043932275,2.52401680027509,0,1,chèvre,
4.0762450924318,7.49579310036141,0,1,chien,
5.11137426172246,8.00019464441935,0,1,cochon,
1.82529228137619,0.30933324007642,0,1,dindon,
3.53192715591912,3.63954082028924,0,1,écureuil,
5.82821648422026,8.58221966018003,0,1,éléphant,
4.88262181923531,6.71093278484261,0,1,girafe,
4.90461181017642,6.94524450918174,0,1,grenouille,
5.16870511457014,8.86251662972919,0,1,lapin,
4.37230824186509,6.06354028077924,0,1,lion,
4.63382330063952,6.57628203045084,0,1,mouton,
1.85337648249579,0.436193134058971,0,1,oie,
4.67473136095218,7.58461989326738,0,1,oiseau,
4.72368741678176,6.57258889181847,0,1,ours,
4.26510578879775,5.94348288809525,0,1,papillon,
2.70437465781596,1.74479062715638,0,1,petite.bête,
2.62994099615054,2.37123354662017,0,1,pingouin,
5.14410334890465,8.31942188253863,0,1,poisson,poisson (animal)
2.05105870496144,0.50435218939228,0,1,poney,
4.34780557018913,6.49445014622396,0,1,poule,
4.42901586994859,5.68496804696022,0,1,singe,
5.58258887235787,6.96425026353127,0,1,souris,
3.60145812760064,4.14655693816207,0,1,tigre,
4.73451040624437,7.14386992176027,0,1,tortue,
5.15241648821902,8.02615692192343,0,1,vache,
2.11359029031215,0.887992208564983,0,1,baguette,baguette (nourriture)
3.34613935197095,6.15946740275072,0,1,banane,
3.06553794667705,4.04249874071792,0,1,beurre,
3.66025944501444,4.70108060829886,0,1,café,
5.57762100478489,7.59077110174435,0,1,carotte,
2.60006891507877,1.81586021055573,0,1,céréales,
2.91101121191749,2.7686139280592,0,1,clémentine,
2.37550115661789,-2.27618649891,0,1,cornflakes,
3.62592735992591,7.55140671046702,0,1,eau..drink.,eau (boisson)
4.47728978059972,6.23220044730686,0,1,fromage,
3.27126764986538,6.30626627512563,0,1,gâteau,
2.02385116948137,-0.0392386052302813,0,1,gâteaux.apéro,
3.99316743361874,3.6123747855606,0,1,glace,glace (nourriture)
2.91482441252108,2.165010472239,0,1,jus.de.fruit,
3.54276770150898,5.5184306841227,0,1,lait,
3.38265106109301,0.322890395433146,0,1,nourriture,
4.55112894768864,5.14608067869601,0,1,œuf,
4.86368109819049,5.04298990178799,0,1,orange..food.,orange (nourriture)
3.16957040760442,6.60960955101212,0,1,pain,
4.5838516381841,7.18502347338219,0,1,pâtes,
2.78383297607111,2.17649685578188,0,1,petits.gâteaux,
3.74167850512345,3.51579666720165,0,1,petits.pois,
2.98347917990267,2.15444854304404,0,1,pizza,
4.56288606953009,5.92933039988059,0,1,poisson..food.,poisson (nourriture)
4.30724414230292,7.479530831041,0,1,pomme,
