"a1","d","g","u","definition"
1.65766868302294,0.970118313005042,0,1,"aïe"
1.95155715177096,2.12409207642651,0,1,"allô"
2.02066148345041,0.995573075607988,0,1,"bêe.bêe"
1.67048454983459,-0.14142758136622,0,1,"cocorico"
2.43214917424306,1.14047025743349,0,1,"coin.coin"
1.21817267040369,0.908507372056471,0,1,"grrrr"
2.0874039767807,1.81557393337227,0,1,"meuh"
0.964591642686644,0.428052371703336,0,1,"miam.miam"
2.20960796553822,1.78787203683198,0,1,"miaou"
1.09378707270552,0.35138372123369,0,1,"ohoh"
1.78597282107676,1.86398503296055,0,1,"ouaf.ouaf"
1.88501519077483,0.0690753715695797,0,1,"tchou.tchou"
1.34156969067776,0.66876764815585,0,1,"vroum"
1.76150378444523,-0.0953062606525233,0,1,"ainsi.font.font"
1.75682363891732,1.05601453968123,0,1,"attends"
2.53125806752288,3.3012218259929,0,1,"au.revoir"
3.48231133300497,2.89847585543505,0,1,"bain"
3.98055954315634,2.01196024818222,0,1,"bonjour"
3.35454098649613,0.829852309097956,0,1,"bonne.nuit"
3.05703199958573,3.1886885745131,0,1,"bravo"
2.26847043255902,1.29698677212349,0,1,"chut"
2.83333804257673,3.12131642497352,0,1,"coucou"
3.17844359079649,-0.721493992864661,0,1,"déjeuner"
2.45121187314534,-1.16197440339507,0,1,"dîner"
3.5434801355021,2.62443566914597,0,1,"merci"
2.77817477080751,-0.496810714820121,0,1,"ne.fais.pas"
3.12098168974531,2.62988576019697,0,1,"oui"
4.00844580072618,-1.04625351934903,0,1,"petit.déjeuner"
4.30249677422411,0.893338964092156,0,1,"s.il.te.plaît"
2.12791919934883,-0.819083376198338,0,1,"salut"
3.4323207502727,0.334043751491477,0,1,"sieste"
2.70814721937395,0.796930113899132,0,1,"veux"
3.79637516421921,0.47031846082605,0,1,"abeille"
2.45908728264447,-2.5312978853048,0,1,"agneau"
3.51773933790345,0.455025632902853,0,1,"âne"
4.47588827219331,-1.14435496992054,0,1,"animal"
1.90753622296595,-1.96168312916371,0,1,"biche"
4.77277129554602,2.18497016085131,0,1,"canard"
3.57077160726819,2.78779432210623,0,1,"chat"
6.14140013656846,1.7283339405586,0,1,"cheval"
3.25623346391075,-0.631422435959747,0,1,"chèvre"
4.39646008516833,2.78537934793273,0,1,"chien"
5.65457116882524,2.15481687816245,0,1,"cochon"
1.94166992993144,-1.70259774419148,0,1,"dindon"
