"age","theta","sd","n","definition","index","item_info"
12,-1.217264419,0.745191777,104,"papa",263,0.91805427
13,-0.857527326,0.741279953,113,"ball",67,1.33644973
14,-0.845519858,0.712849313,150,"ball",67,1.363609969
15,-0.552299024,0.714205649,152,"ball",67,1.93701645
16,-0.312255817,0.732926505,170,"ball",67,2.030432246
17,0.082993513,0.698674484,205,"appel",80,3.357510448
18,0.075283375,0.737040885,239,"appel",80,3.343709448
19,0.239902543,0.729090499,31,"appel",80,3.344273939
20,0.608708578,0.553798802,35,"stoel",214,7.146423134
21,0.609454652,0.657588358,29,"stoel",214,7.153022352
22,1.040874086,0.533327712,31,"tand(en)",151,7.895116578
23,0.986417131,0.485677804,23,"lepel",174,8.26980792
24,1.514501361,0.602720274,192,"klein",305,6.35624946
25,1.75706651,0.698973617,39,"krijgen",356,6.279917155
26,1.636048879,0.577693468,32,"jongen",252,5.798393535
27,1.939201086,0.823230741,22,"krijgen",356,6.969215296
28,2.210017308,0.882258922,31,"schudden",373,4.554722506
29,2.211277649,0.963529909,78,"schudden",373,4.542525557
30,2.241280573,0.867109862,67,"schudden",373,4.243877761
