num_item_id,definition,lexical_class,category,old_definition
1,baa baa,other,sounds,baa baa
2,choo choo,other,sounds,choo choo
3,cockadoodledoo,other,sounds,cockadoodledoo
4,grrr,other,sounds,grrr
5,meow,other,sounds,meow
6,moo,other,sounds,moo
7,ouch,other,sounds,ouch
8,quack quack,other,sounds,quack quack
9,uh oh,other,sounds,uh oh
10,vroom,other,sounds,vroom
11,woof woof,other,sounds,woof woof
12,yum yum,other,sounds,yum yum
13,alligator,nouns,animals,alligator
14,animal,nouns,animals,animal
15,ant,nouns,animals,ant
16,bear,nouns,animals,bear
17,bee,nouns,animals,bee
18,bird,nouns,animals,bird
19,bug (animal),nouns,animals,bug
20,bunny,nouns,animals,bunny
21,butterfly,nouns,animals,butterfly
22,cat,nouns,animals,cat
23,chicken (animal),nouns,animals,chicken (animal)
24,cow,nouns,animals,cow
25,deer,nouns,animals,deer
26,dog,nouns,animals,dog
27,donkey,nouns,animals,donkey
28,duck,nouns,animals,duck
29,elephant,nouns,animals,elephant
30,fish (animal),nouns,animals,fish (animal)
31,frog,nouns,animals,frog
32,giraffe,nouns,animals,giraffe
33,goose,nouns,animals,goose
34,hen,nouns,animals,hen
35,horse,nouns,animals,horse
36,kitty,nouns,animals,kitty
37,lamb,nouns,animals,lamb
38,lion,nouns,animals,lion
39,monkey,nouns,animals,monkey
40,moose,nouns,animals,moose
41,mouse,nouns,animals,mouse
42,owl,nouns,animals,owl
43,penguin,nouns,animals,penguin
44,pig,nouns,animals,pig
45,pony,nouns,animals,pony
46,puppy,nouns,animals,puppy
47,rooster,nouns,animals,rooster
48,sheep,nouns,animals,sheep
49,squirrel,nouns,animals,squirrel
50,teddybear,nouns,animals,teddybear
51,tiger,nouns,animals,tiger
52,turkey,nouns,animals,turkey
53,turtle,nouns,animals,turtle
54,wolf,nouns,animals,wolf
55,zebra,nouns,animals,zebra
56,airplane,nouns,vehicles,airplane
57,bicycle,nouns,vehicles,bicycle
58,boat,nouns,vehicles,boat
59,bus,nouns,vehicles,bus
60,car,nouns,vehicles,car
61,firetruck,nouns,vehicles,firetruck
62,helicopter,nouns,vehicles,helicopter
63,motorcycle,nouns,vehicles,motorcycle
64,sled,nouns,vehicles,sled
65,stroller,nouns,vehicles,stroller
66,tractor,nouns,vehicles,tractor
67,train,nouns,vehicles,train
68,tricycle,nouns,vehicles,tricycle
69,truck,nouns,vehicles,truck
70,ball,nouns,toys,ball
71,balloon,nouns,toys,balloon
72,bat (toy),nouns,toys,bat
73,block,nouns,toys,block
74,book,nouns,toys,book
75,bubbles,nouns,toys,bubbles
76,chalk,nouns,toys,chalk
77,crayon,nouns,toys,crayon
78,doll,nouns,toys,doll
79,game,nouns,toys,game
80,glue,nouns,toys,glue
81,pen,nouns,toys,pen
82,pencil,nouns,toys,pencil
83,play dough,nouns,toys,play dough
84,present (gift),nouns,toys,present
85,puzzle,nouns,toys,puzzle
86,story,nouns,toys,story
87,toy (object),nouns,toys,toy (object)
88,apple,nouns,food_drink,apple
89,applesauce,nouns,food_drink,applesauce
90,banana,nouns,food_drink,banana
91,beans,nouns,food_drink,beans
92,bread,nouns,food_drink,bread
93,butter,nouns,food_drink,butter
94,cake,nouns,food_drink,cake
95,candy,nouns,food_drink,candy
96,carrots,nouns,food_drink,carrots
97,cereal,nouns,food_drink,cereal
98,cheerios,nouns,food_drink,cheerios
99,cheese,nouns,food_drink,cheese
100,chicken (food),nouns,food_drink,chicken (food)
101,chocolate,nouns,food_drink,chocolate
102,coffee,nouns,food_drink,coffee
103,coke,nouns,food_drink,coke
104,cookie,nouns,food_drink,cookie
105,corn,nouns,food_drink,corn
106,cracker,nouns,food_drink,cracker
107,donut,nouns,food_drink,donut
108,drink (beverage),nouns,food_drink,drink (beverage)
109,egg,nouns,food_drink,egg
110,fish (food),nouns,food_drink,fish (food)
111,food,nouns,food_drink,food
112,french fries,nouns,food_drink,french fries
113,grapes,nouns,food_drink,grapes
114,green beans,nouns,food_drink,green beans
115,gum,nouns,food_drink,gum
116,hamburger,nouns,food_drink,hamburger
117,ice,nouns,food_drink,ice
118,ice cream,nouns,food_drink,ice cream
119,jello,nouns,food_drink,jello
120,jelly,nouns,food_drink,jelly
121,juice,nouns,food_drink,juice
122,lollipop,nouns,food_drink,lollipop
123,meat,nouns,food_drink,meat
124,melon,nouns,food_drink,melon
125,milk,nouns,food_drink,milk
126,muffin,nouns,food_drink,muffin
127,noodles,nouns,food_drink,noodles
